SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-76.0,57.0,-64.0,-33.0,107.0,99.0,67.0,16.0,104.0,80
-76.0,57.0,-65.0,-33.0,107.0,99.0,67.0,16.0,103.0,80
-76.0,57.0,-67.0,-33.0,107.0,97.0,65.0,16.0,103.0,80
-76.0,57.0,-69.0,-35.0,107.0,97.0,65.0,16.0,103.0,80
-76.0,57.0,-72.0,-35.0,107.0,95.0,65.0,16.0,102.0,80
-74.0,60.0,-72.0,-33.0,107.0,95.0,66.0,17.0,102.0,80
-74.0,63.0,-72.0,-33.0,107.0,97.0,67.0,17.0,103.0,80
-74.0,63.0,-69.0,-33.0,109.0,97.0,68.0,17.0,104.0,80
-74.0,63.0,-69.0,-33.0,109.0,97.0,71.0,17.0,105.0,80
-78.0,57.0,-67.0,-36.0,109.0,96.0,69.0,17.0,104.0,80
-88.0,56.0,-67.0,-37.0,107.0,96.0,69.0,14.0,104.0,80
-90.0,54.0,-67.0,-41.0,106.0,95.0,69.0,10.0,102.0,80
-90.0,53.0,-67.0,-41.0,105.0,95.0,69.0,10.0,102.0,80
-90.0,53.0,-67.0,-41.0,104.0,93.0,69.0,10.0,102.0,80
-90.0,54.0,-64.0,-41.0,105.0,95.0,74.0,11.0,102.0,80
-90.0,54.0,-55.0,-41.0,105.0,95.0,75.0,11.0,102.0,80
-90.0,54.0,-45.0,-41.0,105.0,96.0,77.0,11.0,102.0,80
-90.0,54.0,-45.0,-41.0,105.0,96.0,79.0,11.0,102.0,80
-90.0,52.0,-40.0,-39.0,104.0,96.0,80.0,5.0,102.0,80
-90.0,49.0,-40.0,-39.0,103.0,95.0,78.0,5.0,101.0,80
-90.0,49.0,-40.0,-39.0,102.0,95.0,78.0,5.0,100.0,80
-90.0,49.0,-45.0,-39.0,102.0,94.0,77.0,5.0,100.0,80
-90.0,49.0,-45.0,-39.0,102.0,93.0,76.0,5.0,98.0,80
-86.0,52.0,-45.0,-38.0,102.0,93.0,76.0,11.0,98.0,80
-82.0,55.0,-45.0,-38.0,102.0,93.0,77.0,11.0,98.0,80
-79.0,60.0,-45.0,-36.0,102.0,93.0,77.0,12.0,100.0,80
-79.0,60.0,-40.0,-36.0,102.0,93.0,78.0,12.0,100.0,80
-85.0,54.0,-39.0,-36.0,101.0,89.0,77.0,11.0,98.0,80
-85.0,54.0,-44.0,-36.0,100.0,89.0,76.0,11.0,96.0,80
-86.0,54.0,-44.0,-36.0,99.0,89.0,76.0,11.0,96.0,80
-86.0,54.0,-44.0,-36.0,99.0,88.0,74.0,11.0,92.0,80
-62.0,33.0,-2.0,-22.0,65.0,85.0,47.0,18.0,78.0,120
-62.0,33.0,-4.0,-22.0,65.0,85.0,47.0,15.0,78.0,120
-62.0,33.0,-9.0,-23.0,65.0,85.0,47.0,15.0,77.0,120
-64.0,33.0,-9.0,-25.0,65.0,85.0,47.0,15.0,77.0,120
-64.0,33.0,-9.0,-26.0,65.0,85.0,47.0,13.0,77.0,120
-64.0,36.0,-9.0,-26.0,65.0,86.0,51.0,15.0,78.0,120
-64.0,37.0,-9.0,-26.0,69.0,86.0,52.0,15.0,79.0,120
-64.0,37.0,-9.0,-26.0,71.0,86.0,53.0,15.0,79.0,120
-64.0,37.0,-5.0,-26.0,73.0,88.0,54.0,17.0,82.0,120
-64.0,38.0,-9.0,-25.0,71.0,86.0,55.0,18.0,83.0,120
-64.0,38.0,-10.0,-26.0,71.0,86.0,55.0,18.0,83.0,120
-64.0,38.0,-16.0,-26.0,70.0,86.0,54.0,18.0,83.0,120
-64.0,38.0,-20.0,-26.0,70.0,86.0,54.0,18.0,83.0,120
-64.0,38.0,-22.0,-26.0,70.0,86.0,54.0,18.0,83.0,120
-64.0,43.0,-22.0,-25.0,71.0,89.0,55.0,18.0,84.0,120
-64.0,46.0,-22.0,-19.0,76.0,89.0,56.0,19.0,85.0,120
-64.0,52.0,-20.0,-14.0,77.0,89.0,58.0,19.0,85.0,120
-64.0,52.0,-18.0,-14.0,79.0,91.0,61.0,19.0,88.0,120
-68.0,43.0,-16.0,-22.0,77.0,92.0,61.0,17.0,85.0,120
-71.0,37.0,-16.0,-23.0,76.0,92.0,61.0,15.0,85.0,120
-68.0,37.0,26.0,-19.0,73.0,105.0,69.0,17.0,91.0,120
-68.0,40.0,26.0,-19.0,73.0,105.0,70.0,18.0,91.0,120
-67.0,40.0,26.0,-17.0,73.0,105.0,70.0,18.0,91.0,120
-63.0,42.0,26.0,-16.0,73.0,105.0,70.0,20.0,91.0,120
-62.0,42.0,23.0,-16.0,74.0,105.0,71.0,20.0,91.0,120
-62.0,42.0,18.0,-17.0,74.0,105.0,70.0,20.0,91.0,120
-62.0,42.0,17.0,-17.0,74.0,103.0,70.0,20.0,91.0,120
-62.0,42.0,15.0,-17.0,74.0,103.0,69.0,20.0,91.0,120
-62.0,42.0,14.0,-17.0,74.0,102.0,69.0,18.0,91.0,120
-62.0,45.0,15.0,-17.0,75.0,102.0,70.0,20.0,91.0,120
-58.0,49.0,15.0,-16.0,77.0,103.0,70.0,22.0,92.0,120
-55.0,56.0,15.0,-15.0,77.0,103.0,70.0,24.0,92.0,120
-55.0,59.0,15.0,-13.0,78.0,103.0,70.0,24.0,93.0,120
-55.0,56.0,16.0,-14.0,80.0,103.0,70.0,20.0,93.0,120
-62.0,53.0,11.0,-14.0,80.0,103.0,70.0,20.0,93.0,120
-64.0,51.0,0.0,-15.0,77.0,103.0,70.0,19.0,93.0,120
-64.0,51.0,1.0,-14.0,77.0,103.0,70.0,19.0,95.0,120
-64.0,51.0,11.0,-14.0,80.0,107.0,71.0,19.0,96.0,120
-64.0,51.0,13.0,-14.0,80.0,109.0,72.0,19.0,97.0,120
-64.0,51.0,16.0,-14.0,80.0,110.0,73.0,19.0,98.0,120
-70.0,45.0,26.0,-18.0,80.0,109.0,73.0,18.0,98.0,120
-70.0,45.0,26.0,-22.0,80.0,109.0,72.0,16.0,98.0,120
-70.0,45.0,26.0,-22.0,80.0,109.0,72.0,16.0,98.0,120
-72.0,45.0,26.0,-22.0,78.0,109.0,72.0,16.0,97.0,120
-75.0,45.0,26.0,-24.0,77.0,109.0,70.0,16.0,97.0,120
-75.0,45.0,27.0,-22.0,77.0,109.0,72.0,16.0,97.0,120
-75.0,45.0,28.0,-22.0,78.0,112.0,72.0,16.0,98.0,120
-75.0,45.0,28.0,-22.0,78.0,112.0,72.0,16.0,98.0,120
-75.0,45.0,33.0,-22.0,78.0,112.0,73.0,16.0,98.0,120
-77.0,41.0,40.0,-20.0,77.0,112.0,73.0,15.0,99.0,120
